entry_date,exit_date,code,name,score,entry_price,exit_price,gross_return,net_return
2024-01-02,2024-01-03,603392,万泰生物,86.1,76.89,74.65,-2.91,-3.19
2024-01-02,2024-01-03,002915,中欣氟材,81.6,18.26,17.84,-2.3,-2.58
2024-01-02,2024-01-03,002952,亚世光电,81.6,42.39,38.24,-9.78,-10.06
2024-01-02,2024-01-03,300492,华图山鼎,81.1,61.56,60.29,-2.06,-2.34
2024-01-02,2024-01-03,605289,罗曼股份,79.9,54.1,51.31,-5.16,-5.44
2024-01-03,2024-01-04,300492,华图山鼎,85.3,60.29,62.23,3.21,2.93
2024-01-03,2024-01-04,002952,亚世光电,82.2,38.24,38.87,1.64,1.36
2024-01-03,2024-01-04,603392,万泰生物,80.4,74.65,74.45,-0.27,-0.55
2024-01-03,2024-01-04,603052,可川科技,78.8,24.56,27.01,10.0,9.72
2024-01-03,2024-01-04,301076,新瀚新材,78.8,25.68,22.94,-10.69,-10.97
2024-01-04,2024-01-05,002888,惠威科技,85.3,27.65,27.26,-1.39,-1.67
2024-01-04,2024-01-05,600610,,84.2,9.35,8.73,-6.63,-6.91
2024-01-04,2024-01-05,002862,实丰文化,81.7,16.42,16.93,3.13,2.85
2024-01-04,2024-01-05,300492,华图山鼎,80.0,62.23,62.95,1.16,0.88
2024-01-04,2024-01-05,002771,真视通,79.5,29.79,29.06,-2.45,-2.73
2024-01-05,2024-01-08,300492,华图山鼎,87.5,62.95,61.56,-2.2,-2.48
2024-01-05,2024-01-08,002888,惠威科技,85.5,27.26,24.54,-9.98,-10.26
2024-01-05,2024-01-08,002862,实丰文化,83.9,16.93,16.38,-3.24,-3.52
2024-01-05,2024-01-08,001339,智微智能,80.2,39.57,35.61,-10.0,-10.28
2024-01-05,2024-01-08,603052,可川科技,79.5,24.31,22.69,-6.67,-6.95
2024-01-08,2024-01-09,300492,华图山鼎,86.3,61.56,61.52,-0.07,-0.35
2024-01-08,2024-01-09,603392,万泰生物,86.1,86.59,81.27,-6.15,-6.43
2024-01-08,2024-01-09,002862,实丰文化,81.7,16.38,15.37,-6.18,-6.46
2024-01-08,2024-01-09,002952,亚世光电,81.1,42.75,38.47,-10.0,-10.28
2024-01-08,2024-01-09,301061,匠心家居,78.4,30.07,31.1,3.44,3.16
2024-01-09,2024-01-10,603392,万泰生物,86.1,81.27,76.44,-5.94,-6.22
2024-01-09,2024-01-10,600610,,84.3,8.93,8.13,-8.96,-9.24
2024-01-09,2024-01-10,002347,泰尔股份,82.5,7.37,6.98,-5.28,-5.56
2024-01-09,2024-01-10,002952,亚世光电,82.2,38.47,36.1,-6.18,-6.46
2024-01-09,2024-01-10,300492,华图山鼎,81.7,61.52,57.08,-7.22,-7.5
2024-01-10,2024-01-11,002347,泰尔股份,84.2,6.98,6.88,-1.43,-1.71
2024-01-10,2024-01-11,002403,爱仕达,82.1,12.91,11.62,-9.98,-10.26
2024-01-10,2024-01-11,300492,华图山鼎,81.0,57.08,59.12,3.58,3.3
2024-01-10,2024-01-11,001339,智微智能,80.0,37.88,41.67,10.0,9.72
2024-01-10,2024-01-11,600630,,79.9,14.54,14.54,0.0,-0.28
2024-01-11,2024-01-12,002403,爱仕达,84.8,11.62,10.47,-9.97,-10.25
2024-01-11,2024-01-12,600630,,79.0,14.54,13.08,-9.99,-10.27
2024-01-11,2024-01-12,603530,神马电力,78.3,20.08,18.98,-5.52,-5.8
2024-01-11,2024-01-12,000017,深中华A,78.2,5.95,6.55,10.08,9.8
2024-01-11,2024-01-12,603099,长白山,77.7,29.53,31.33,6.09,5.81
2024-01-12,2024-01-15,300492,华图山鼎,84.8,59.97,60.47,0.84,0.56
2024-01-12,2024-01-15,000017,深中华A,81.1,6.55,7.21,10.08,9.8
2024-01-12,2024-01-15,002882,金龙羽,80.3,20.69,22.76,10.01,9.73
2024-01-12,2024-01-15,001339,智微智能,80.1,43.82,41.95,-4.27,-4.55
2024-01-12,2024-01-15,300805,电声股份,77.9,10.89,10.54,-3.19,-3.47
2024-01-15,2024-01-16,300492,华图山鼎,85.4,60.47,60.09,-0.63,-0.91
2024-01-15,2024-01-16,000017,深中华A,84.1,7.21,7.93,9.99,9.71
2024-01-15,2024-01-16,001339,智微智能,79.9,41.95,40.11,-4.41,-4.69
2024-01-15,2024-01-16,002882,金龙羽,78.1,22.76,22.06,-3.05,-3.33
2024-01-15,2024-01-16,603097,江苏华辰,77.9,28.69,31.56,9.99,9.71
2024-01-16,2024-01-17,000017,深中华A,84.2,7.93,8.72,9.96,9.68
2024-01-16,2024-01-17,002882,金龙羽,81.0,22.06,19.86,-10.01,-10.29
2024-01-16,2024-01-17,603097,江苏华辰,79.6,31.56,28.93,-8.33,-8.61
2024-01-16,2024-01-17,002952,亚世光电,79.1,39.86,36.3,-8.93,-9.21
2024-01-16,2024-01-17,600593,大连圣亚,78.9,33.47,34.64,3.5,3.22
2024-01-17,2024-01-18,000017,深中华A,84.5,8.72,9.59,9.98,9.7
2024-01-17,2024-01-18,002952,亚世光电,82.5,36.3,37.62,3.61,3.33
2024-01-17,2024-01-18,603097,江苏华辰,80.1,28.93,27.64,-4.46,-4.74
2024-01-17,2024-01-18,600630,,80.0,16.35,17.16,4.92,4.64
2024-01-17,2024-01-18,002708,光洋股份,79.3,10.83,10.13,-6.46,-6.74
2024-01-18,2024-01-19,000017,深中华A,84.6,9.59,10.55,10.01,9.73
2024-01-18,2024-01-19,300492,华图山鼎,83.1,58.7,57.96,-1.27,-1.55
2024-01-18,2024-01-19,603038,华立股份,80.9,13.68,12.32,-9.98,-10.26
2024-01-18,2024-01-19,600630,,80.0,17.16,16.09,-6.26,-6.54
2024-01-18,2024-01-19,603032,德新科技,79.3,23.62,21.26,-10.0,-10.28
2024-01-19,2024-01-22,000017,深中华A,84.9,10.55,11.61,10.05,9.77
2024-01-19,2024-01-22,001212,中旗新材,81.1,19.72,18.33,-7.06,-7.34
2024-01-19,2024-01-22,603038,华立股份,81.0,12.32,11.46,-6.93,-7.21
2024-01-19,2024-01-22,002952,亚世光电,78.8,33.86,31.63,-6.58,-6.86
2024-01-19,2024-01-22,603392,万泰生物,76.5,66.89,63.2,-5.52,-5.8
2024-01-22,2024-01-23,000017,深中华A,84.9,11.61,12.77,9.99,9.71
2024-01-22,2024-01-23,001217,华尔泰,77.1,14.89,16.38,10.03,9.75
2024-01-22,2024-01-23,605399,晨光新材,75.5,16.42,16.83,2.46,2.18
2024-01-22,2024-01-23,300492,华图山鼎,74.2,54.7,57.0,4.2,3.92
2024-01-22,2024-01-23,605255,天普股份,71.5,19.73,19.15,-2.97,-3.25
2024-01-23,2024-01-24,000017,深中华A,84.9,12.77,12.3,-3.68,-3.96
2024-01-23,2024-01-24,605255,天普股份,78.1,19.15,18.96,-1.0,-1.28
2024-01-23,2024-01-24,603099,长白山,77.9,34.26,32.6,-4.85,-5.13
2024-01-23,2024-01-24,300269,联建光电,77.3,5.63,5.38,-4.44,-4.72
2024-01-23,2024-01-24,600318,新力金融,76.4,9.35,10.29,10.03,9.75
2024-01-24,2024-01-25,000017,深中华A,84.9,12.3,13.53,10.0,9.72
