entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,exit_reason,regime,hold_days
2024-01-02,2024-01-03,300375,5.2882,5.0026,-0.054007034529707586,-0.05680703452970758,stop_loss,bear,1
2024-01-02,2024-01-05,300131,6.07,5.75,-0.05271828665568373,-0.05551828665568373,stop_loss,bear,3
2024-01-03,2024-01-08,600222,6.1106,5.9023,-0.03408830556737464,-0.03688830556737464,time_exit,bear,3
2024-01-05,2024-01-10,002355,5.11,5.0,-0.02152641878669282,-0.02432641878669282,time_exit,bear,3
2024-01-05,2024-01-10,002702,5.778,5.8572,0.013707165109034296,0.010907165109034295,time_exit,bear,3
2024-01-10,2024-01-15,600509,5.4953,5.553,0.010499881717103641,0.007699881717103641,time_exit,bear,3
2024-01-10,2024-01-15,300169,6.77,7.19,0.062038404726735726,0.05923840472673573,time_exit,bear,3
2024-01-15,2024-01-17,600712,5.12,4.85,-0.05273437500000009,-0.05553437500000009,stop_loss,bear,2
2024-01-15,2024-01-18,000955,5.07,5.25,0.0355029585798816,0.032702958579881605,time_exit,bear,3
2024-01-17,2024-01-22,000570,5.5853,5.9313,0.061948328648416394,0.0591483286484164,time_exit,bear,3
2024-01-17,2024-01-22,300200,6.9384,6.3955,-0.07824570506168563,-0.08104570506168562,stop_loss,bear,3
2024-01-22,2024-01-25,300061,5.01,5.17,0.03193612774451101,0.02913612774451101,time_exit,bear,3
2024-01-22,2024-01-25,002329,5.05,5.29,0.04752475247524757,0.04472475247524757,time_exit,bear,3
2024-01-25,2024-01-30,300063,5.36,4.84,-0.09701492537313441,-0.09981492537313441,stop_loss,bear,3
2024-01-25,2024-01-30,600678,6.68,6.18,-0.07485029940119761,-0.07765029940119761,stop_loss,bear,3
2024-01-29,2024-01-31,000678,5.76,5.1,-0.11458333333333336,-0.11738333333333335,stop_loss,bear,2
2024-01-29,2024-01-31,002591,5.65,5.06,-0.10442477876106207,-0.10722477876106207,stop_loss,bear,2
2024-01-29,2024-01-31,002452,5.7358,5.248,-0.08504480630426445,-0.08784480630426444,stop_loss,bear,2
2024-01-31,2024-02-02,002642,5.66,5.26,-0.07067137809187285,-0.07347137809187285,stop_loss,bear,2
2024-01-31,2024-02-02,300369,6.5,6.1,-0.06153846153846159,-0.0643384615384616,stop_loss,bear,2
2024-02-02,2024-02-05,002235,5.05,4.55,-0.09900990099009901,-0.10180990099009901,stop_loss,bear,1
2024-02-02,2024-02-05,600610,5.62,5.06,-0.09964412811387909,-0.10244412811387908,stop_loss,bear,1
2024-02-05,2024-02-07,300986,5.0197,4.1679,-0.1696914158216626,-0.1724914158216626,stop_loss,bull,2
2024-02-05,2024-02-07,300665,5.2587,4.6744,-0.11111111111111108,-0.11391111111111107,stop_loss,bull,2
2024-02-06,2024-02-07,301032,5.569,4.9371,-0.11346740887053329,-0.11626740887053329,stop_loss,bull,1
2024-02-06,2024-02-07,301056,5.5657,5.0973,-0.08415832689508956,-0.08695832689508956,stop_loss,bull,1
2024-02-06,2024-02-07,605162,5.4283,4.8845,-0.10017869314518359,-0.10297869314518358,stop_loss,bull,1
2024-02-06,2024-02-07,603660,5.01,4.52,-0.09780439121756491,-0.10060439121756491,stop_loss,bull,1
2024-02-07,2024-02-20,301025,5.7143,7.3698,0.2897117757205607,0.2869117757205607,time_exit,bull,3
2024-02-07,2024-02-20,002209,5.7205,6.7534,0.1805611397605104,0.1777611397605104,time_exit,bull,3
2024-02-07,2024-02-20,301016,5.3367,6.6485,0.24580733412033648,0.24300733412033648,time_exit,bull,3
2024-02-07,2024-02-20,300106,5.21,6.16,0.18234165067178507,0.17954165067178507,time_exit,bull,3
2024-02-07,2024-02-20,300562,5.8796,7.0536,0.19967344717327715,0.19687344717327715,time_exit,bull,3
2024-02-20,2024-02-23,601096,5.1956,5.4125,0.041746862730002283,0.03894686273000229,time_exit,bull,3
2024-02-20,2024-02-23,002708,6.79,7.63,0.12371134020618554,0.12091134020618555,time_exit,bull,3
2024-02-20,2024-02-23,605069,5.58,6.55,0.17383512544802862,0.17103512544802862,time_exit,bull,3
2024-02-20,2024-02-23,603528,5.4952,6.2405,0.1356274566894745,0.13282745668947452,time_exit,bull,3
2024-02-21,2024-02-26,002103,6.12,6.43,0.05065359477124177,0.04785359477124177,time_exit,bull,3
2024-02-21,2024-02-26,002357,5.324,5.6842,0.06765589782118706,0.06485589782118706,time_exit,bull,3
2024-02-23,2024-02-28,002584,7.4091,7.0317,-0.05093736081305419,-0.053737360813054184,time_exit,bull,3
