date,regime,score,action,trend,volatility,volume,breadth,year
2024-01-02,weak_trend,60.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,47.5,60,90,50,2024
2024-01-03,weak_trend,59.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,47.5,60,90,40,2024
2024-01-04,weak_trend,59.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,47.5,60,90,40,2024
2024-01-05,weak_trend,60.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,47.5,60,100,30,2024
2024-01-08,weak_trend,55.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,35.0,60,100,30,2024
2024-01-09,weak_trend,56.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,35.0,60,90,60,2024
2024-01-10,weak_trend,56.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,35.0,60,100,40,2024
2024-01-11,weak_trend,60.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,35.0,60,100,80,2024
2024-01-12,weak_trend,63.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,57.5,60,90,40,2024
2024-01-15,weak_trend,60.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,45.0,60,90,60,2024
2024-01-16,weak_trend,63.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,57.5,60,90,40,2024
2024-01-17,strong_trend,71.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,80.0,60,90,30,2024
2024-01-18,weak_trend,65.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,67.5,60,80,40,2024
2024-01-19,weak_trend,63.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,67.5,60,80,20,2024
2024-01-22,weak_trend,67.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,77.5,60,80,20,2024
2024-01-23,weak_trend,65.0,V13保守版，降低仓位(3只)，阈值60分，止损-8%,65.0,60,80,50,2024
2024-01-24,strong_trend,71.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,77.5,60,80,60,2024
2024-01-25,strong_trend,77.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,90.0,60,80,70,2024
2024-01-26,strong_trend,84.5,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,75,90,40,2024
2024-01-29,strong_trend,86.5,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,85,90,30,2024
2024-01-30,strong_trend,85.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,90,20,2024
2024-01-31,strong_trend,83.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,80,20,2024
2024-02-01,strong_trend,83.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,80,20,2024
2024-02-02,strong_trend,83.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,80,20,2024
2024-02-05,strong_trend,78.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,75.0,100,80,20,2024
2024-02-06,strong_trend,87.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,80,60,2024
2024-02-07,strong_trend,84.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,100,80,30,2024
2024-02-08,strong_trend,85.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,90,80,70,2024
2024-02-19,strong_trend,88.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,90,80,50,2024
2024-02-20,strong_trend,91.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,90,80,80,2024
2024-02-21,strong_trend,82.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,60,75,90,2024
2024-02-22,strong_trend,85.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,60,85,100,2024
2024-02-23,strong_trend,83.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,100.0,60,75,100,2024
2024-02-26,strong_trend,75.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,60,65,90,2024
2024-02-27,strong_trend,76.0,V13原版，正常仓位(5只)，阈值55分，止损-8%,87.5,60,65,100,2024
