date,rank,code,score,buy,sell,return,factors,ma20,ret_20d
2026-02-13,1,000935,42,29.33,28.82,-1.74,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",27.57,3.51
2026-02-13,2,600406,42,26.37,26.13,-0.91,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",25.13,11.58
2026-02-13,3,600995,42,13.85,13.46,-2.82,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",13.65,5.99
2026-02-24,1,600097,42,12.41,12.67,2.1,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",12.13,6.54
2026-02-24,2,600288,42,15.96,16.01,0.31,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",15.64,1.73
2026-02-24,3,603373,42,42.68,43.3,1.45,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",40.12,4.55
2026-02-25,1,000020,42,15.37,15.41,0.26,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",15.0,7.26
2026-02-25,2,600101,42,10.46,10.45,-0.1,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.01,4.18
2026-02-25,3,600137,42,22.65,22.04,-2.69,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",21.2,12.73
2026-02-26,1,600150,42,37.95,38.11,0.42,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",35.05,5.83
2026-02-26,2,600329,42,44.0,43.2,-1.82,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",42.89,1.16
2026-02-26,3,600873,42,11.33,11.42,0.79,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.87,8.11
