entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason
2026-01-28,2026-01-28,601226,11.35,10.78,-5.0,-5.2,70.99625601344843,"{'trend': np.float64(0.0), 'momentum': np.float64(2.1676555077444455), 'quality': np.float64(1.4767426108677733), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.4903503594632361), 'liquidity': np.float64(2.3118348066869316)}",止损(-5%)
2026-01-28,2026-01-28,600531,21.77,22.52,3.43,3.23,70.93967813647882,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(0.3893661965228213), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.5905265156367833), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-28,2026-01-28,601615,24.81,24.86,0.16,-0.04,70.84003479607263,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(0.7699515836085592), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.3743690841488736), 'liquidity': np.float64(2.6047151952002254)}",T+1平仓
2026-01-28,2026-01-28,600986,13.51,12.84,-5.0,-5.2,70.72744517891282,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(0.5680065118865327), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.34114188108440635), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-01-28,2026-01-28,600589,10.97,10.42,-5.0,-5.2,69.66448323200545,"{'trend': np.float64(0.0), 'momentum': np.float64(2.529643737662864), 'quality': np.float64(0.5664530596702643), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.34114188108440635), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-01-29,2026-01-29,002119,26.47,25.58,-3.33,-3.53,69.033312145997,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5432300285551973), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8876674105541965), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-29,2026-01-29,301396,101.1,101.99,0.88,0.68,68.80341884751877,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.3288171068242955), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0610108243180372), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-29,2026-01-29,300639,8.83,8.39,-5.0,-5.2,68.64870777143366,"{'trend': np.float64(0.0), 'momentum': np.float64(2.889537104737971), 'quality': np.float64(1.3600939195757824), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0610108243180372), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-01-29,2026-01-29,300139,84.08,79.88,-5.0,-5.2,68.63538998027906,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2914433637209652), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0610108243180372), 'liquidity': np.float64(2.9627282413801788)}",止损(-5%)
2026-01-29,2026-01-29,300785,64.17,72.12,12.38,12.18,68.10384944198258,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.1877909940784055), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0610108243180372), 'liquidity': np.float64(2.815672621800976)}",T+1平仓
2026-01-30,2026-01-30,300017,16.64,16.54,-0.56,-0.76,68.95964548882255,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.3926769151093596), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.072795085501844), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-30,2026-01-30,000751,6.89,6.87,-0.2,-0.4,68.91491423350567,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.46344555646523095), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.76841696763379), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-30,2026-01-30,688380,52.68,57.79,9.7,9.5,68.88725233006568,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5309667475642476), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.885073983199933), 'liquidity': np.float64(2.883287082105755)}",T+1平仓
2026-01-30,2026-01-30,002842,25.58,26.09,2.03,1.83,68.82760433034024,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.587813832284241), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8636819423976536), 'liquidity': np.float64(3.0)}",T+1平仓
2026-01-30,2026-01-30,301500,21.62,20.54,-5.0,-5.2,68.77770391162636,"{'trend': np.float64(0.0), 'momentum': np.float64(2.8800119793751007), 'quality': np.float64(1.4220207381793042), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.072795085501844), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-02,2026-02-02,300658,18.02,17.12,-5.0,-5.2,70.61455902666789,"{'trend': np.float64(0.0), 'momentum': np.float64(1.8194626779107785), 'quality': np.float64(1.2447305022199475), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.7427643293707968), 'liquidity': np.float64(2.5388556710642707)}",止损(-5%)
2026-02-02,2026-02-02,600916,13.22,13.2,-0.2,-0.4,69.16803955289244,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5287083875725589), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.9180549052033731), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-02,2026-02-02,600759,4.91,4.91,-0.2,-0.4,68.91263013701962,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5791802829653584), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8833903286385668), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-02,2026-02-02,300781,52.05,51.97,-0.16,-0.36,68.77585953656065,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.3333921534440751), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0747723079238598), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-02,2026-02-02,002165,12.78,12.14,-5.0,-5.2,68.77485443158812,"{'trend': np.float64(0.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.38475127107902346), 'sentiment': np.float64(2.8636961487311408), 'valuation': np.float64(0.7452639700600432), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-03,2026-02-03,603629,40.04,44.06,10.03,9.83,77.27052580285388,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.7384711377143217), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.82864640533228), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-03,2026-02-03,688380,52.05,53.53,2.83,2.63,76.77452310881154,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5302639007289733), 'sentiment': np.float64(2.438937027550369), 'valuation': np.float64(0.8759021663367076), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-03,2026-02-03,603172,31.16,29.6,-5.0,-5.2,75.81167711932687,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.6936953993435686), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8914340120320852), 'liquidity': np.float64(1.8123075208408765)}",止损(-5%)
2026-02-03,2026-02-03,688008,184.97,175.73,-5.0,-5.2,74.55913371217254,"{'trend': np.float64(3.0), 'momentum': np.float64(2.805684174525492), 'quality': np.float64(-0.5648407255440354), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8532186972506476), 'liquidity': np.float64(1.0874736029135643)}",止损(-5%)
2026-02-03,2026-02-03,600487,35.54,36.24,1.99,1.79,74.11625783467512,"{'trend': np.float64(3.0), 'momentum': np.float64(2.1765180804606974), 'quality': np.float64(-0.6976754834915578), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8880232759187), 'liquidity': np.float64(1.9320325175714175)}",T+1平仓
2026-02-04,2026-02-04,002112,24.3,24.89,2.39,2.19,77.97429071841401,"{'trend': np.float64(2.885745727639718), 'momentum': np.float64(3.0), 'quality': np.float64(-0.41897406705774787), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8579919122227024), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-04,2026-02-04,600785,26.03,25.32,-2.69,-2.89,77.9291685384566,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.560215344388641), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.9378647890736026), 'liquidity': np.float64(2.8641468029344788)}",T+1平仓
2026-02-04,2026-02-04,300342,56.21,53.4,-5.0,-5.2,77.57296126513279,"{'trend': np.float64(2.977096980914173), 'momentum': np.float64(3.0), 'quality': np.float64(1.3041649083880988), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.073224249065754), 'liquidity': np.float64(2.9658988962821593)}",止损(-5%)
2026-02-04,2026-02-04,600986,16.32,15.5,-5.0,-5.2,77.31973635987866,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5517757061838217), 'sentiment': np.float64(2.885848677793999), 'valuation': np.float64(0.7439679844645418), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-04,2026-02-04,002131,10.09,9.59,-5.0,-5.2,77.2864622119953,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.4842575315901497), 'sentiment': np.float64(2.694984339658829), 'valuation': np.float64(0.808506680844462), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-05,2026-02-05,002112,24.3,23.09,-5.0,-5.2,78.28885434021947,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.4189209707562596), 'sentiment': np.float64(2.975299069873886), 'valuation': np.float64(0.8670647817573359), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-05,2026-02-05,600785,25.38,24.11,-5.0,-5.2,78.1089972002648,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5602959959883036), 'sentiment': np.float64(2.977398184462903), 'valuation': np.float64(0.9469130910627228), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-05,2026-02-05,002165,14.17,13.47,-5.0,-5.2,78.08756653387991,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.3905965569948068), 'sentiment': np.float64(2.996725881056117), 'valuation': np.float64(0.7555743241626907), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-05,2026-02-05,300017,16.94,17.95,5.99,5.79,77.7161167247962,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.3022629450471093), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0635573701150445), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-05,2026-02-05,600986,15.0,15.5,3.33,3.13,77.54774913358723,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.5518483658995414), 'sentiment': np.float64(2.9751406461313183), 'valuation': np.float64(0.7530759258301304), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-06,2026-02-06,301362,91.56,86.98,-5.0,-5.2,77.5696498850801,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2463660195397293), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0564827245130317), 'liquidity': np.float64(3.0)}",止损(-5%)
2026-02-06,2026-02-06,301636,88.53,103.79,17.23,17.03,77.5401953591793,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2365478442394604), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0564827245130317), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-06,2026-02-06,300191,30.61,33.07,8.02,7.82,75.97431426287665,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2154958519407821), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0564827245130317), 'liquidity': np.float64(1.998183253728931)}",T+1平仓
2026-02-06,2026-02-06,002931,113.11,107.46,-5.0,-5.2,75.7990367522215,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.6095643269215641), 'sentiment': np.float64(2.8423879962491627), 'valuation': np.float64(0.7584244596167289), 'liquidity': np.float64(2.1380555750502586)}",止损(-5%)
2026-02-06,2026-02-06,300943,31.38,30.74,-2.05,-2.25,75.51716886295632,"{'trend': np.float64(2.5269569928280013), 'momentum': np.float64(3.0), 'quality': np.float64(1.3046451587393033), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0564827245130317), 'liquidity': np.float64(2.4612070545290057)}",T+1平仓
2026-02-09,2026-02-09,300017,18.61,18.88,1.46,1.26,77.64420757349026,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2604787644555167), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0457429066254287), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-09,2026-02-09,301362,94.09,91.91,-2.32,-2.52,77.57185320233859,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(1.2363606407382923), 'sentiment': np.float64(3.0), 'valuation': np.float64(-1.0457429066254287), 'liquidity': np.float64(3.0)}",T+1平仓
2026-02-09,2026-02-09,603629,48.05,50.56,5.23,5.03,77.11554857819516,"{'trend': np.float64(3.0), 'momentum': np.float64(3.0), 'quality': np.float64(-0.7547797979657068), 'sentiment': np.float64(3.0), 'valuation': np.float64(0.8601538840703036), 'liquidity': np.float64(2.8662842132542417)}",T+1平仓
