entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry
2025-12-24,2025-12-24,000036,6.81,6.47,-5.0,-5.2,67.41677985730746,"{'trend': 2.5841379953022203, 'momentum': 3.0, 'quality': 0.03056648626928167, 'sentiment': 3.0, 'valuation': -1.1837732419884464, 'liquidity': -0.2506759076278067}",止损(-5%),其他
2025-12-24,2025-12-24,000007,12.08,11.67,-3.4,-3.6,65.81938586049696,"{'trend': 2.281639833361417, 'momentum': 1.9630634859389489, 'quality': 1.6447944946418038, 'sentiment': -0.8732443019924669, 'valuation': 0.12556042819798505, 'liquidity': 0.8075389520091737}",T+1平仓,其他
2025-12-25,2025-12-25,000036,6.96,6.61,-5.0,-5.2,70.99141435647273,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.20771324254033363, 'sentiment': 2.75515579087691, 'valuation': -1.1726918399144306, 'liquidity': 2.122352716242652}",止损(-5%),其他
2025-12-25,2025-12-25,000048,14.35,14.7,2.44,2.24,56.68087520147523,"{'trend': -1.1291924186765148, 'momentum': 0.01243025954587529, 'quality': -0.13890444339171382, 'sentiment': 2.3712285904945736, 'valuation': 1.277638255333645, 'liquidity': 0.8593457393919794}",T+1平仓,其他
2025-12-25,2025-12-25,000007,12.08,11.43,-5.37,-5.57,56.655188649717886,"{'trend': 1.9796821465450554, 'momentum': 1.3001535051810196, 'quality': -0.06200026355573347, 'sentiment': -1.328936947533257, 'valuation': 0.10559593640688965, 'liquidity': 0.43341195788118914}",T+1平仓,其他
2025-12-26,2025-12-26,000036,7.89,7.73,-1.99,-2.19,72.8341540394876,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.2048420781823536, 'sentiment': 3.0, 'valuation': -1.1837732419884464, 'liquidity': 3.0}",T+1平仓,其他
2025-12-26,2025-12-26,000007,11.69,11.26,-3.61,-3.81,56.60510247872856,"{'trend': 1.7015466500524754, 'momentum': 0.9113592885609079, 'quality': -0.05579964004665651, 'sentiment': -0.7015889209008347, 'valuation': 0.12556042819798505, 'liquidity': 0.5461312245879882}",T+1平仓,其他
2025-12-26,2025-12-26,000021,24.97,24.49,-1.94,-2.14,55.19683110938261,"{'trend': 0.38930379782939956, 'momentum': 0.17005650081037094, 'quality': -0.17586083373240483, 'sentiment': -0.12921040326517666, 'valuation': 0.9426356861026881, 'liquidity': 1.0911276262045821}",T+1平仓,其他
2025-12-29,2025-12-29,000048,15.15,16.09,6.18,5.98,62.60029343767105,"{'trend': -0.06378610110049897, 'momentum': 0.41148494245619677, 'quality': -0.12023427345097674, 'sentiment': 3.0, 'valuation': 1.3260682477051606, 'liquidity': 0.998872465122369}",T+1平仓,其他
2025-12-29,2025-12-29,000007,11.48,11.24,-2.18,-2.38,57.717303316933936,"{'trend': 1.4068330666865858, 'momentum': 0.7202404263241591, 'quality': -0.04007730613549382, 'sentiment': 0.1490809764662071, 'valuation': 0.12556042819798485, 'liquidity': 0.8562543962722555}",T+1平仓,其他
