entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-01-31,2024-01-31,000025,17.29,16.81,-2.75,-2.95,55.24400322405222,"{'trend': 0, 'momentum': -0.09948157744008645, 'quality': -0.20555397510289244, 'sentiment': 1.6640895252630754, 'valuation': 0.7239269377930456, 'liquidity': 0.7339414208690599, 'size': -0.20500093651307166}",T+1平仓,其他,1
2024-02-01,2024-02-01,000048,17.07,17.26,1.13,0.93,55.698222123741836,"{'trend': 0, 'momentum': -0.20770299002650205, 'quality': -0.15828769329704143, 'sentiment': 1.569557642219436, 'valuation': 1.2312079162384213, 'liquidity': -1.1134445607466628, 'size': 1.2105918607625887}",T+1平仓,其他,1
2024-02-05,2024-02-05,000017,10.62,11.37,7.14,6.94,61.423428793835456,"{'trend': 0, 'momentum': 3.0, 'quality': -0.23144602079992696, 'sentiment': 2.895415313275148, 'valuation': -0.6424894625188585, 'liquidity': 2.6481118300392055, 'size': -1.1234486714327794}",T+1平仓,其他,1
2024-02-19,2024-02-19,000017,9.45,9.95,5.25,5.05,66.17510841014321,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.2100123078408741, 'sentiment': 1.2602031740583526, 'valuation': -0.8194317321725247, 'liquidity': 3.0, 'size': -1.3018592474896038}",T+1平仓,其他,1
2024-02-20,2024-02-20,000028,31.19,31.8,1.95,1.75,63.02041772973719,"{'trend': 1.3292198561234658, 'momentum': 1.4091349074206427, 'quality': -0.24190834133532027, 'sentiment': 2.2210999290853635, 'valuation': 1.050410948804061, 'liquidity': -0.4142074769470721, 'size': 0.5272802415147492}",T+1平仓,其他,1
2024-02-21,2024-02-21,000001,9.89,10.68,8.03,7.83,59.01448896955878,"{'trend': 1.1277346567088808, 'momentum': 1.1280343565448936, 'quality': -0.27024163128997547, 'sentiment': 3.0, 'valuation': 1.2889014728073676, 'liquidity': -1.0603513734609986, 'size': -2.159944073815462}",T+1平仓,银行,1
2024-02-21,2024-02-21,000048,17.74,17.53,-1.23,-1.43,57.334888778680394,"{'trend': 1.1790671630213343, 'momentum': 1.1545496948838292, 'quality': -0.18865097756909222, 'sentiment': -0.16889198456239182, 'valuation': 0.9880809416851544, 'liquidity': -0.8123080744756564, 'size': 0.8595840746640723}",T+1平仓,其他,1
2024-02-23,2024-02-23,000017,11.8,11.49,-2.6,-2.8,60.59642919523139,"{'trend': 2.8346845830615277, 'momentum': 2.6478227187432855, 'quality': -0.23939225585762802, 'sentiment': -1.0353844685406985, 'valuation': -0.7919946633591977, 'liquidity': 3.0, 'size': -1.277819390029569}",T+1平仓,其他,1
2024-02-26,2024-02-26,000028,32.65,31.38,-3.87,-4.07,56.7996272413502,"{'trend': 1.0926874781908393, 'momentum': 1.3568789975017246, 'quality': -0.23698795631791103, 'sentiment': -0.7950693622325754, 'valuation': 1.2410452636212401, 'liquidity': -0.5891384879307643, 'size': 0.6177301757581677}",T+1平仓,其他,1
2024-02-27,2024-02-27,000034,29.64,31.15,5.1,4.9,58.2758906916915,"{'trend': 0.4374028635618348, 'momentum': 1.0320847244938665, 'quality': -0.21074953866719404, 'sentiment': 1.596194397639544, 'valuation': 0.5715127767067337, 'liquidity': 0.9936726658879169, 'size': -0.32987404641615625}",T+1平仓,其他,1
2024-02-28,2024-02-28,000001,10.63,10.37,-2.36,-2.56,56.309645779086104,"{'trend': 1.3741544915428792, 'momentum': 0.8178539275055833, 'quality': -0.26877117491995484, 'sentiment': 1.4254392603609634, 'valuation': 1.3585193540560914, 'liquidity': -0.6961384204272446, 'size': -2.448737011630757}",T+1平仓,银行,1
2024-02-29,2024-02-29,000021,13.53,14.12,4.4,4.2,58.18554831539729,"{'trend': 0.7361297889635211, 'momentum': 0.6109043441369897, 'quality': -0.19955441059701526, 'sentiment': 1.708520202294903, 'valuation': 0.6599433173468293, 'liquidity': 0.2008224906383165, 'size': 0.08722415698108082}",T+1平仓,其他,1
2024-03-01,2024-03-01,000028,31.92,31.03,-2.76,-2.96,57.383229497372504,"{'trend': 1.3640913892557291, 'momentum': 1.3344755401768353, 'quality': -0.23223982957476033, 'sentiment': -0.7112026079998218, 'valuation': 1.164678186930277, 'liquidity': -0.7913483070599828, 'size': 0.7694929495779594}",T+1平仓,其他,1
2024-03-04,2024-03-04,000034,32.94,33.61,2.03,1.83,66.43891827049343,"{'trend': 1.7491580362326609, 'momentum': 1.864779909376183, 'quality': -0.2089920567960069, 'sentiment': 2.9466988196819646, 'valuation': 0.6977724176861054, 'liquidity': 1.0181940276568635, 'size': -0.34212664325780456}",T+1平仓,其他,1
2024-03-05,2024-03-05,000028,32.65,31.69,-2.93,-3.13,57.031901482307504,"{'trend': 1.0305292555595063, 'momentum': 0.814668283603083, 'quality': -0.23183476906888412, 'sentiment': -0.1756872055063683, 'valuation': 1.2891617543429683, 'liquidity': -0.29058084498529363, 'size': 0.3896985314974379}",T+1平仓,其他,1
